OBJECTID,CF,CASE_NUM,SOURCE,ADOPTDATE,COMMENTS,CPA_1,CPA_2,BICYCLE_N,created_user,created_date,last_edited_user,last_edited_date,Shape__Length
1,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy. Middle out consistency edit.,SVY,,2,,,,,450.881240432195
2,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,SLA,,2,,,,,480.410135109743
3,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WAD,,1,,,,,247.308770556373
4,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,2,,,,,61.3696737187955
5,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,SLA,,2,,,,,267.396797668718
6,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WAD,,1,,,,,250.838273919743
7,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,2,,,,,110.255284009035
8,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,Updated per Timmy. Middle out consistency edit.,SLA,,1,,,,,132.119711572869
9,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WAD,,1,,,,,302.559544954201
10,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WAD,,1,,,,,249.609977439035
11,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,VNY,,2,,,,,35.516760222252
12,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,SLA,,2,,,,,267.469725671594
13,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WAD,,1,,,,,201.560769310157
14,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,SLA,,2,,,,,480.136649202878
15,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,VNY,,2,,,,,488.817797352861
16,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WAD,,1,,,,,372.557652697355
17,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WIL,,1,,,,,163.268462370113
18,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,VNY,,2,,,,,59.636793854023
19,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,2,,,,,6.23920993315755
20,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WAD,,1,,,,,225.137211424341
21,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,SLA,,2,,,,,253.512585407161
22,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,NLA,,2,,,,,63.6251232369258
23,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WAD,,1,,,,,254.175095190118
24,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,Updated per Timmy. Frontage street is local.,WAD,,1,,,,,247.308826734281
